Identifier,ARN,Resource type,Region,AWS Account,LastReportedAt,Service,Tags,Tag:shared_costs,Tag:workspace,Tag:Product,Tag:for-use-with-amazon-emr-managed-policies,Tag:Naming,Tag:Name,Tag:Cost Center,Tag:environment,Tag:APM_functional,Tag:service,Tag:CIA,Tag:aws:elasticmapreduce:job-flow-id,Tag:aws:elasticmapreduce:instance-group-role,Tag:sagemaker:project-name,Tag:sagemaker:user-profile-arn,Tag:sagemaker:domain-arn,Tag:sagemaker:project-id,Tag:aws:servicecatalog:productArn,Tag:aws:servicecatalog:provisioningPrincipalArn,Tag:aws:servicecatalog:provisioningArtifactIdentifier,Tag:aws:servicecatalog:portfolioArn,Tag:aws:servicecatalog:provisionedProductArn,Tag:sagemaker:pipeline-step-name,Tag:sagemaker:pipeline-execution-arn,Tag:ManagedByAmazonSageMakerResource,Tag:Description
eni-0ec9eed94caca8eb4,arn:aws:ec2:us-east-1:954519111599:network-interface/eni-0ec9eed94caca8eb4,ec2:network-interface,us-east-1,954519111599,2024-02-14T22:11:40Z,ec2,1,(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),arn:aws:sagemaker:us-east-1:954519111599:node/d-2hg6g8suxa7a/data-science-5/system-jupyterserverorkernelgateway,(not tagged)
eni-038bb6cd53febff31,arn:aws:ec2:us-east-1:954519111599:network-interface/eni-038bb6cd53febff31,ec2:network-interface,us-east-1,954519111599,2024-02-09T16:59:44Z,ec2,1,(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),arn:aws:sagemaker:us-east-1:954519111599:node/d-6tiqlee3zbyq/data-science-2/system-jupyterserverorkernelgateway,(not tagged)
default.redis3.2.cluster.on,arn:aws:elasticache:us-east-1:954519111599:parametergroup:default.redis3.2.cluster.on,elasticache:parametergroup,us-east-1,954519111599,2024-02-23T17:31:43Z,elasticache,0,(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged)
eni-0e9f629a6e3ee8bb1,arn:aws:ec2:us-east-1:954519111599:network-interface/eni-0e9f629a6e3ee8bb1,ec2:network-interface,us-east-1,954519111599,2024-02-13T16:13:33Z,ec2,1,(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),arn:aws:sagemaker:us-east-1:954519111599:node/d-6tiqlee3zbyq/data-science-3/ml.m5.4xlarge_663277389841_sagemaker-data-wrangler-1.0,(not tagged)
default,arn:aws:memorydb:eu-west-2:954519111599:user/default,memorydb:user,eu-west-2,954519111599,2024-02-23T17:30:02Z,memorydb,0,(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged)
pipelines-3mj6cjwoo719-na-createmodel-model-hkk8ploolb,arn:aws:sagemaker:us-east-1:954519111599:model/pipelines-3mj6cjwoo719-na-createmodel-model-hkk8ploolb,sagemaker:model,us-east-1,954519111599,2024-02-14T03:04:51Z,sagemaker,4,(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),arn:aws:sagemaker:us-east-1:954519111599:user-profile/d-6tiqlee3zbyq/data-science-1,arn:aws:sagemaker:us-east-1:954519111599:domain/d-6tiqlee3zbyq,(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),NA-CreateModel-ModeloFinal-CreateModel,arn:aws:sagemaker:us-east-1:954519111599:pipeline/train-monitor-pipeline-V2/execution/3mj6cjwoo719,(not tagged),(not tagged)
primary,arn:aws:athena:ap-southeast-1:954519111599:workgroup/primary,athena:workgroup,ap-southeast-1,954519111599,2024-02-23T17:32:29Z,athena,0,(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged)
i-0722d8960029ff3ba,arn:aws:ec2:us-east-1:954519111599:instance/i-0722d8960029ff3ba,ec2:instance,us-east-1,954519111599,2024-02-23T15:42:27Z,ec2,13,No,mexd1ae1accmchinelops001,Mlops,true,sgti1ae1emramlopsbsit001,sgti1ae1emramlopsbsit001,1226,Development,APM,mlops,CLL,j-3HOJG8CAXW3NQ,CORE,(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged)
i-0b1122d04f003f67f,arn:aws:ec2:us-east-1:954519111599:instance/i-0b1122d04f003f67f,ec2:instance,us-east-1,954519111599,2024-02-23T15:42:27Z,ec2,13,No,mexd1ae1accmchinelops001,Mlops,true,sgti1ae1emramlopsbsit001,sgti1ae1emramlopsbsit001,1226,Development,APM,mlops,CLL,j-3HOJG8CAXW3NQ,CORE,(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged)
default.redis6.x.cluster.on,arn:aws:elasticache:ap-south-1:954519111599:parametergroup:default.redis6.x.cluster.on,elasticache:parametergroup,ap-south-1,954519111599,2024-02-23T17:31:32Z,elasticache,0,(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged)
sgtd2ae1as3mlopsout001-sp1001,arn:aws:s3:us-east-1:954519111599:accesspoint/sgtd2ae1as3mlopsout001-sp1001,s3:accesspoint,us-east-1,954519111599,2024-02-23T17:30:24Z,s3,0,(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged)
default,arn:aws:elasticache:ap-southeast-1:954519111599:user:default,elasticache:user,ap-southeast-1,954519111599,2024-02-23T17:29:27Z,elasticache,0,(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged)
SNOWFLAKE_OAUTH-3zyLdQ,arn:aws:secretsmanager:us-east-1:954519111599:secret:SNOWFLAKE_OAUTH-3zyLdQ,secretsmanager:secret,us-east-1,954519111599,2024-02-12T22:16:00Z,secretsmanager,-,(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged)
pipelines-hh56vzhecbi7-na-createmodel-model-lrgwgg45sz,arn:aws:sagemaker:us-east-1:954519111599:model/pipelines-hh56vzhecbi7-na-createmodel-model-lrgwgg45sz,sagemaker:model,us-east-1,954519111599,2024-02-21T03:21:29Z,sagemaker,4,(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),arn:aws:sagemaker:us-east-1:954519111599:user-profile/d-6tiqlee3zbyq/data-science-2,arn:aws:sagemaker:us-east-1:954519111599:domain/d-6tiqlee3zbyq,(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),NA-CreateModel-ModeloBase-CreateModel,arn:aws:sagemaker:us-east-1:954519111599:pipeline/train-deploy/execution/hh56vzhecbi7,(not tagged),(not tagged)
i-0e36843ef7ee40cf3,arn:aws:ec2:us-east-1:954519111599:instance/i-0e36843ef7ee40cf3,ec2:instance,us-east-1,954519111599,2024-02-23T15:25:59Z,ec2,13,No,mexd1ae1accmchinelops001,Mlops,true,sgtd1ae1emramlopsbsit001,sgtd1ae1emramlopsbsit001,1226,Development,APM,map-migrated,CLL,j-1DSYX2UK3DIS,MASTER,(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged)
pipelines-esax8d5beo0x-na-createmodel-model-biyowk3dy4,arn:aws:sagemaker:us-east-1:954519111599:model/pipelines-esax8d5beo0x-na-createmodel-model-biyowk3dy4,sagemaker:model,us-east-1,954519111599,2024-02-13T20:05:50Z,sagemaker,4,(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),arn:aws:sagemaker:us-east-1:954519111599:user-profile/d-6tiqlee3zbyq/data-science-1,arn:aws:sagemaker:us-east-1:954519111599:domain/d-6tiqlee3zbyq,(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),NA-CreateModel-ModeloFinal-CreateModel,arn:aws:sagemaker:us-east-1:954519111599:pipeline/train-monitor-pipeline-V2/execution/esax8d5beo0x,(not tagged),(not tagged)
eni-037a5b9f198b12592,arn:aws:ec2:us-east-1:954519111599:network-interface/eni-037a5b9f198b12592,ec2:network-interface,us-east-1,954519111599,2024-02-14T01:10:03Z,ec2,1,(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),arn:aws:sagemaker:us-east-1:954519111599:node/d-6tiqlee3zbyq/data-science-4/ml.t3.medium-kernelgateway,(not tagged)
i-0e895db48f3ead059,arn:aws:ec2:us-east-1:954519111599:instance/i-0e895db48f3ead059,ec2:instance,us-east-1,954519111599,2024-02-08T16:44:04Z,ec2,1,(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),pythonLibraries,(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged)
default.redis2.6,arn:aws:elasticache:us-east-1:954519111599:parametergroup:default.redis2.6,elasticache:parametergroup,us-east-1,954519111599,2024-02-23T17:31:43Z,elasticache,0,(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged)
pipelines-p333jiso8pag-na-createmodel-model-8rri3zvthk,arn:aws:sagemaker:us-east-1:954519111599:model/pipelines-p333jiso8pag-na-createmodel-model-8rri3zvthk,sagemaker:model,us-east-1,954519111599,2024-02-14T01:23:02Z,sagemaker,4,(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),arn:aws:sagemaker:us-east-1:954519111599:user-profile/d-6tiqlee3zbyq/data-science-1,arn:aws:sagemaker:us-east-1:954519111599:domain/d-6tiqlee3zbyq,(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),NA-CreateModel-ModeloBase-CreateModel,arn:aws:sagemaker:us-east-1:954519111599:pipeline/train-monitor-pipeline-V2/execution/p333jiso8pag,(not tagged),(not tagged)
Product,arn:aws:ssm:us-east-1:954519111599:parameter/Product,ssm:parameter,us-east-1,954519111599,2024-02-23T17:29:03Z,ssm,2,(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),AHM,(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),SSM Parameter
default.redis4.0,arn:aws:elasticache:ap-south-1:954519111599:parametergroup:default.redis4.0,elasticache:parametergroup,ap-south-1,954519111599,2024-02-23T17:31:32Z,elasticache,0,(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged)
EMR-Stack/1e8f7490-d262-11ee-816a-0e75229d7295,arn:aws:cloudformation:us-east-1:954519111599:stack/EMR-Stack/1e8f7490-d262-11ee-816a-0e75229d7295,cloudformation:stack,us-east-1,954519111599,2024-02-23T15:42:16Z,cloudformation,4,(not tagged),mexd1ae1accmchinelops001,(not tagged),(not tagged),(not tagged),Service:Mlops,(not tagged),Development,(not tagged),map-migrated,(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged)
SC-954519111599-pp-7eb7a3xcqwyfg/47535e00-d1d1-11ee-8159-12022bf10111,arn:aws:cloudformation:us-east-1:954519111599:stack/SC-954519111599-pp-7eb7a3xcqwyfg/47535e00-d1d1-11ee-8159-12022bf10111,cloudformation:stack,us-east-1,954519111599,2024-02-22T22:25:27Z,cloudformation,9,(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),sm-studio-emr-1c16eff8-2e0d-485b,arn:aws:sagemaker:us-east-1:954519111599:user-profile/d-6tiqlee3zbyq/data-science-3,arn:aws:sagemaker:us-east-1:954519111599:domain/d-6tiqlee3zbyq,p-uj8eqrpchfjp,arn:aws:catalog:us-east-1:954519111599:product/prod-7i3bx5zig5cxk,arn:aws:sts::954519111599:assumed-role/t2prj0348770-data-science-exec-role/SageMaker,pa-cds6yhnthxeq2,arn:aws:catalog:us-east-1:954519111599:portfolio/port-l2rh6724qoavw,arn:aws:servicecatalog:us-east-1:954519111599:stack/sm-studio-emr-1c16eff8-2e0d-485b-p-uj8eqrpchfjp/pp-7eb7a3xcqwyfg,(not tagged),(not tagged),(not tagged),(not tagged)
default.redis5.0.cluster.on,arn:aws:elasticache:ap-south-1:954519111599:parametergroup:default.redis5.0.cluster.on,elasticache:parametergroup,ap-south-1,954519111599,2024-02-23T17:31:32Z,elasticache,0,(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged)
SC-954519111599-pp-6wy5wtjtn5jn4/6865a740-cf80-11ee-a3a1-12b505ba9d9d,arn:aws:cloudformation:us-east-1:954519111599:stack/SC-954519111599-pp-6wy5wtjtn5jn4/6865a740-cf80-11ee-a3a1-12b505ba9d9d,cloudformation:stack,us-east-1,954519111599,2024-02-19T23:41:32Z,cloudformation,9,(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),sm-studio-emr-be9b63ea-ff39-44f3,arn:aws:sagemaker:us-east-1:954519111599:user-profile/d-6tiqlee3zbyq/data-science-3,arn:aws:sagemaker:us-east-1:954519111599:domain/d-6tiqlee3zbyq,p-lt8kujqfgolo,arn:aws:catalog:us-east-1:954519111599:product/prod-zx4ict6ker4w6,arn:aws:sts::954519111599:assumed-role/t2prj0348770-data-science-exec-role/SageMaker,pa-lqc66h2ffvrym,arn:aws:catalog:us-east-1:954519111599:portfolio/port-265opcpfijpiy,arn:aws:servicecatalog:us-east-1:954519111599:stack/sm-studio-emr-be9b63ea-ff39-44f3-p-lt8kujqfgolo/pp-6wy5wtjtn5jn4,(not tagged),(not tagged),(not tagged),(not tagged)
eni-0771d40c0e0bf4400,arn:aws:ec2:us-east-1:954519111599:network-interface/eni-0771d40c0e0bf4400,ec2:network-interface,us-east-1,954519111599,2024-02-17T13:46:02Z,ec2,1,(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),arn:aws:sagemaker:us-east-1:954519111599:node/d-6tiqlee3zbyq/data-science-3/system-jupyterserverorkernelgateway,(not tagged)
vol-0b4fcac57f80220eb,arn:aws:ec2:us-east-1:954519111599:volume/vol-0b4fcac57f80220eb,ec2:volume,us-east-1,954519111599,2024-02-23T15:25:59Z,ec2,13,No,mexd1ae1accmchinelops001,Mlops,true,sgtd1ae1emramlopsbsit001,sgtd1ae1emramlopsbsit001,1226,Development,APM,map-migrated,CLL,j-1DSYX2UK3DIS,MASTER,(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged)
CIA,arn:aws:ssm:us-east-1:954519111599:parameter/CIA,ssm:parameter,us-east-1,954519111599,2024-02-23T17:29:03Z,ssm,2,(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),AHM,(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),SSM Parameter
default.memcached1.4,arn:aws:elasticache:us-east-1:954519111599:parametergroup:default.memcached1.4,elasticache:parametergroup,us-east-1,954519111599,2024-02-23T17:31:43Z,elasticache,0,(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged)
default.redis3.2.cluster.on,arn:aws:elasticache:ap-south-1:954519111599:parametergroup:default.redis3.2.cluster.on,elasticache:parametergroup,ap-south-1,954519111599,2024-02-23T17:31:32Z,elasticache,0,(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged)
sgtd2ae1as3mlopssdlc001-sp1001,arn:aws:s3:us-east-1:954519111599:accesspoint/sgtd2ae1as3mlopssdlc001-sp1001,s3:accesspoint,us-east-1,954519111599,2024-02-23T17:30:24Z,s3,0,(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged)
APM_functional,arn:aws:ssm:us-east-1:954519111599:parameter/APM_functional,ssm:parameter,us-east-1,954519111599,2024-02-23T17:29:03Z,ssm,2,(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),AHM,(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),SSM Parameter
SC-954519111599-pp-no6u2tqbq6mls/1229f310-d00f-11ee-9b1b-127de6708277,arn:aws:cloudformation:us-east-1:954519111599:stack/SC-954519111599-pp-no6u2tqbq6mls/1229f310-d00f-11ee-9b1b-127de6708277,cloudformation:stack,us-east-1,954519111599,2024-02-20T16:42:45Z,cloudformation,9,(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),sm-studio-emr-2323f4e4-38df-4646,arn:aws:sagemaker:us-east-1:954519111599:user-profile/d-6tiqlee3zbyq/data-science-3,arn:aws:sagemaker:us-east-1:954519111599:domain/d-6tiqlee3zbyq,p-cwu0dsslhkd2,arn:aws:catalog:us-east-1:954519111599:product/prod-zx4ict6ker4w6,arn:aws:sts::954519111599:assumed-role/t2prj0348770-data-science-exec-role/SageMaker,pa-t5qhprwfxcw6i,arn:aws:catalog:us-east-1:954519111599:portfolio/port-265opcpfijpiy,arn:aws:servicecatalog:us-east-1:954519111599:stack/sm-studio-emr-2323f4e4-38df-4646-p-cwu0dsslhkd2/pp-no6u2tqbq6mls,(not tagged),(not tagged),(not tagged),(not tagged)
vol-027bc55c6c5a2b531,arn:aws:ec2:us-east-1:954519111599:volume/vol-027bc55c6c5a2b531,ec2:volume,us-east-1,954519111599,2024-02-23T15:42:27Z,ec2,13,No,mexd1ae1accmchinelops001,Mlops,true,sgti1ae1emramlopsbsit001,sgti1ae1emramlopsbsit001,1226,Development,APM,mlops,CLL,j-3HOJG8CAXW3NQ,CORE,(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged)
vol-0aad2704603d1e696,arn:aws:ec2:us-east-1:954519111599:volume/vol-0aad2704603d1e696,ec2:volume,us-east-1,954519111599,2024-02-23T15:42:27Z,ec2,13,No,mexd1ae1accmchinelops001,Mlops,true,sgti1ae1emramlopsbsit001,sgti1ae1emramlopsbsit001,1226,Development,APM,mlops,CLL,j-3HOJG8CAXW3NQ,CORE,(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged)
i-0447e838e6fd9f08e,arn:aws:ec2:us-east-1:954519111599:instance/i-0447e838e6fd9f08e,ec2:instance,us-east-1,954519111599,2024-02-23T15:42:26Z,ec2,13,No,mexd1ae1accmchinelops001,Mlops,true,sgti1ae1emramlopsbsit001,sgti1ae1emramlopsbsit001,1226,Development,APM,mlops,CLL,j-3HOJG8CAXW3NQ,MASTER,(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged)
default.memcached1.4,arn:aws:elasticache:ap-south-1:954519111599:parametergroup:default.memcached1.4,elasticache:parametergroup,ap-south-1,954519111599,2024-02-23T17:31:32Z,elasticache,0,(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged)
vol-0aaedb800de2cf379,arn:aws:ec2:us-east-1:954519111599:volume/vol-0aaedb800de2cf379,ec2:volume,us-east-1,954519111599,2024-02-23T15:42:26Z,ec2,13,No,mexd1ae1accmchinelops001,Mlops,true,sgti1ae1emramlopsbsit001,sgti1ae1emramlopsbsit001,1226,Development,APM,mlops,CLL,j-3HOJG8CAXW3NQ,MASTER,(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged)
default.redis3.2,arn:aws:elasticache:us-east-1:954519111599:parametergroup:default.redis3.2,elasticache:parametergroup,us-east-1,954519111599,2024-02-23T17:31:43Z,elasticache,0,(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged)
default.redis7.cluster.on,arn:aws:elasticache:ap-south-1:954519111599:parametergroup:default.redis7.cluster.on,elasticache:parametergroup,ap-south-1,954519111599,2024-02-23T17:31:32Z,elasticache,0,(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged)
default.memcached1.5,arn:aws:elasticache:us-east-1:954519111599:parametergroup:default.memcached1.5,elasticache:parametergroup,us-east-1,954519111599,2024-02-23T17:31:43Z,elasticache,0,(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged)
cd969c7f-ace1-4786-bd66-66d58d9617c2,arn:aws:resource-explorer-2:eu-west-1:954519111599:index/cd969c7f-ace1-4786-bd66-66d58d9617c2,resource-explorer-2:index,eu-west-1,954519111599,2024-02-23T17:28:58Z,resource-explorer-2,0,(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged)
pipelines-esax8d5beo0x-na-createmodel-model-otbmeezube,arn:aws:sagemaker:us-east-1:954519111599:model/pipelines-esax8d5beo0x-na-createmodel-model-otbmeezube,sagemaker:model,us-east-1,954519111599,2024-02-13T19:43:10Z,sagemaker,4,(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),arn:aws:sagemaker:us-east-1:954519111599:user-profile/d-6tiqlee3zbyq/data-science-1,arn:aws:sagemaker:us-east-1:954519111599:domain/d-6tiqlee3zbyq,(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),NA-CreateModel-ModeloBase-CreateModel,arn:aws:sagemaker:us-east-1:954519111599:pipeline/train-monitor-pipeline-V2/execution/esax8d5beo0x,(not tagged),(not tagged)
